location,gender,category,target,time,day,date,year_month,like,after,comment_text
Inner Mongolia,female,SCB,G,11,Monday,2016/11/21,2016/11,1,总 感觉 举着 女人 学会 经营 情感 大旗 干着 教 女人 讨好 迎合 男人 勾当 ,并且总感觉是举着帮助女人学会经营情感的大旗干着教女人怎么讨好迎合男人的勾当
Zhejiang,male,MA,I,9,Tuesday,2016/11/22,2016/11,0,""" 问 ， 微博 评论 ， 一言不合 吊癌 ， 一言不合 圣母 婊 ","我就问你是不是吧，现在微博评论，一言不合就吊癌，一言不合圣母婊,对了，当时比较困，前面还想着的，就忘记回复了“整天把吊癌挂在嘴边”"
Zhejiang,female,MA,I,9,Tuesday,2016/11/22,2016/11,0,""" 妈   滚蛋 ","我他妈真的是 你能不能滚蛋,我就问你谁先跟我提婊的,你个死直男,你个直男癌"
Zhejiang,male,SCB,I,9,Tuesday,2016/11/22,2016/11,0,做 男人 好难 ， 天天 三观 正 女性 “ 作家 ” 扣帽子 ,做男人好难，天天被这些三观正的女性“作家”扣帽子
Zhejiang,female,SCB,G,12,Tuesday,2016/11/22,2016/11,0,哈哈哈   女   不想 干活 想 白吃白喝 吃喝玩乐   女人 有钱 ！ 独立 ！ 翻身 ！ hin 累 ,哈哈哈 女的也一样啊 我就不想干活想白吃白喝吃喝玩乐啊 马上说女人一定要有钱！一定要独立！要翻身！我也表示hin累
Beijing,female,MA,I,15,Tuesday,2016/11/22,2016/11,4,吃 屎 ， 吃 说香 ， 不香 牌坊 。 下流坯 子 ,不仅吃屎，还一边吃一边说香，别人说不香的都是立牌坊。下流坯子
Oversea,male,MA,G,16,Tuesday,2016/11/22,2016/11,4,张 魏巍 女权 俩 字 放 有种 屎 效果 ， 想 吐 ,把张魏巍和女权俩字放一起就有种屎一样的效果，想吐
Beijing,female,SCB,I,16,Tuesday,2016/11/22,2016/11,0,挣 男人 裤裆 钱 ， 女权 界 一股 清流 … … ,挣男人裤裆钱的，还有人说是女权界的一股清流……
Beijing,female,MA,I,16,Tuesday,2016/11/22,2016/11,1,男人 出轨 ， 做 鸡 高尚 。 男人 出轨 男人 烂 ， 本事 女人 搭理 男人 ， 做 🐔 是从 烂 男人 挣饭吃 ， 臭狗 跳蚤 。 ,男人都出轨，做鸡也不高尚。男人出轨是男人烂，有本事的女人就不搭理男人，做🐔就是从烂男人身上挣饭吃，臭狗身上的跳蚤。
Sichuan,female,SCB,G,17,Monday,2017/1/23,2017/01,77,女权 穆斯林 站 ， 搞笑 画面 ,女权和穆斯林站在一起，真是个搞笑的画面啊
