location,gender,category,target,time,day,year_month
Inner Mongolia,female,SCB,G,11,Monday,2016-11
Zhejiang,male,MA,I,9,Tuesday,2016-11
Zhejiang,female,MA,I,9,Tuesday,2016-11
Zhejiang,male,SCB,I,9,Tuesday,2016-11
Zhejiang,female,SCB,G,12,Tuesday,2016-11
Beijing,female,MA,I,15,Tuesday,2016-11
Oversea,male,MA,G,16,Tuesday,2016-11
Beijing,female,SCB,I,16,Tuesday,2016-11
Beijing,female,MA,I,16,Tuesday,2016-11
Sichuan,female,SCB,G,17,Monday,2017-01
Others,male,SCB,I,18,Monday,2017-01
Sichuan,male,MA,G,18,Monday,2017-01
Oversea,female,MA,G,20,Monday,2017-01
Beijing,female,SCB,I,21,Monday,2017-01
Beijing,female,SCB,I,9,Tuesday,2017-01
Others,male,MA,G,11,Tuesday,2017-01
Others,female,SCB,G,16,Tuesday,2017-01
Others,female,MA,I,20,Tuesday,2017-01
Shandong,female,SCB,G,22,Tuesday,2017-01
Beijing,male,MA,G,0,Wednesday,2017-01
Jiangsu,male,MA,I,1,Wednesday,2017-01
Beijing,male,MA,I,7,Wednesday,2017-01
Beijing,male,SO,I,7,Wednesday,2017-01
Others,male,MA,G,9,Wednesday,2017-01
Others,female,SCB,I,15,Sunday,2017-02
Ningxia,female,MA,I,15,Friday,2017-03
Hong Kong,female,MA,G,4,Saturday,2017-06
Others,female,MA,I,12,Tuesday,2017-06
Others,female,SCB,I,12,Tuesday,2017-06
Others,male,SO,I,6,Friday,2017-06
Others,male,SCB,I,12,Friday,2017-06
Others,female,MA,G,20,Monday,2017-07
Guangxi,male,MA,I,12,Tuesday,2017-07
Guangxi,male,SCB,I,22,Tuesday,2017-07
Anhui,female,MA,I,16,Saturday,2017-07
Guangdong,female,MA,I,10,Sunday,2017-07
Beijing,male,MA,I,10,Sunday,2017-07
Sichuan,female,MA,I,11,Sunday,2017-07
Oversea,male,MA,I,17,Friday,2017-07
Chongqing,male,SCB,I,18,Wednesday,2017-07
Beijing,male,MA,I,23,Wednesday,2017-07
Chongqing,male,SCB,I,23,Wednesday,2017-07
Oversea,female,MA,I,21,Thursday,2017-07
Others,male,SO,I,8,Thursday,2017-08
Shaanxi,male,MA,G,8,Friday,2017-08
Jiangsu,female,SCB,G,20,Thursday,2017-08
Fujian,male,SCB,G,1,Sunday,2017-08
Yunnan,female,MA,I,21,Tuesday,2017-08
Others,female,SCB,G,22,Tuesday,2017-08
Shandong,male,SO,G,4,Friday,2017-09
Others,male,MA,I,3,Saturday,2017-09
Henan,female,SO,I,15,Saturday,2017-09
Hubei,female,MA,G,15,Saturday,2017-09
Sichuan,male,MA,I,15,Saturday,2017-09
Others,female,MA,I,15,Saturday,2017-09
Oversea,female,MA,G,15,Saturday,2017-09
Oversea,female,MA,G,15,Saturday,2017-09
Others,male,SO,G,15,Saturday,2017-09
Beijing,female,SCB,I,15,Saturday,2017-09
Others,female,SCB,I,16,Saturday,2017-09
Others,female,SCB,G,16,Saturday,2017-09
Others,female,SCB,I,16,Saturday,2017-09
Others,female,SCB,I,16,Saturday,2017-09
Oversea,female,MA,I,16,Saturday,2017-09
Others,female,MA,I,16,Saturday,2017-09
Others,female,MA,I,16,Saturday,2017-09
Beijing,female,SCB,I,16,Saturday,2017-09
Guangdong,male,MA,G,17,Saturday,2017-09
Hainan,female,MA,I,18,Saturday,2017-09
Shanghai,female,MA,I,18,Saturday,2017-09
Others,male,MA,I,19,Saturday,2017-09
Others,female,MA,I,22,Saturday,2017-09
