comment_text,location,gender,category,target,time,day,year_month
__________female_____________female_______male____,___,female,SCB,G,,Monday,2016/11
"_______________________________,______________________“_________”",__,male,MA,I,,Tuesday,2016/11
"______ ______,___________,____male,___male_",__,female,MA,I,,Tuesday,2016/11
_male_____________female_“__”___,__,male,SCB,I,,Tuesday,2016/11
___ female_____ ________________ ___female_____________________hin_,__,female,SCB,G,,Tuesday,2016/11
______________________________,__,female,MA,I,,Tuesday,2016/11
_____female__________________,__,male,MA,G,,Tuesday,2016/11
_male___________female_______……,__,female,SCB,I,,Tuesday,2016/11
male____________male____male_______female_____male_________male_______________,__,female,MA,I,,Tuesday,2016/11
female___________________,__,female,SCB,G,,Monday,2017/01
______female____female_________,__,male,SCB,I,,Monday,2017/01
"______“___”____“___”_______________“female_”_________,___________________________po__________,___“female_”________________“female_”_____________________“female_”_",__,male,MA,G,,Monday,2017/01
__________female_____________________female__________________________________________________________________,__,female,MA,G,,Monday,2017/01
____ ______male___ _______________ _________ _________,__,female,SCB,I,,Monday,2017/01
___female___________________,__,female,SCB,I,,Tuesday,2017/01
_______________female_______________________,__,male,MA,G,,Tuesday,2017/01
___________female___female_____________male_,__,female,SCB,G,,Tuesday,2017/01
__________________________________________female_________________________________,__,female,MA,I,,Tuesday,2017/01
____________________________________________male__female_______female________________female_______female___________female____________________________________,__,female,SCB,G,,Tuesday,2017/01
____female________female____ob__tm___female________?female________female____?__________________________?____,__,male,MA,G,,Wednesday,2017/01
"____female______________,_________female________________________________female______female______________female____malefemale___________________________________________",__,male,MA,I,,Wednesday,2017/01
______________female____________y____,__,male,MA,I,,Wednesday,2017/01
_____________________________female_____________________,__,male,SO,I,,Wednesday,2017/01
"___________female_________,_______________",__,male,MA,G,,Wednesday,2017/01
________female___male_________,__,female,SCB,I,,Sunday,2017/02
_________ _____female__jfemale_ _________________ ______________,__,female,MA,I,,Friday,2017/03
female___________________________,__,female,MA,G,,Saturday,2017/06
_____________female___________________________female__________________________________female________male____,__,female,MA,I,,Tuesday,2017/06
____________female_______________,__,female,SCB,I,,Tuesday,2017/06
__________ _____malefemale______ ______,__,male,SO,I,,Friday,2017/06
______400____________985211____male_________________________2000_______iPhone_________male_______________________________________female________________,__,male,SCB,I,,Friday,2017/06
_____female____female__________,__,female,MA,G,,Monday,2017/07
@__female_ ____male__“__male____________”_______female_____________________________,__,male,MA,I,,Tuesday,2017/07
__female__________female____________________________________female__________female____________female_____female__,__,male,SCB,I,,Tuesday,2017/07
female__male_________male__female_____female_______male__,__,female,MA,I,,Saturday,2017/07
__________________________________________________malefemale______malefemale______________________________________________male_______,__,female,MA,I,,Sunday,2017/07
female___________________,__,male,MA,I,,Sunday,2017/07
______female_______male______________________female_____________________________,__,female,MA,I,,Sunday,2017/07
_____  ______   ___  ___  ___  ___  ___male_____  _______  ____________  ______b________________,__,male,MA,I,,Friday,2017/07
__________female____________,__,male,SCB,I,,Wednesday,2017/07
"_____________female___________female_______female_________,______________________female__",__,male,MA,I,,Wednesday,2017/07
"______________female____________male________________female_____________________________,_______________________________female___________,_____female_______________________female______________________________________female________“___________________________________________”________",__,male,SCB,I,,Wednesday,2017/07
"________female___,____________malefemale_____________________________________________________",__,female,MA,I,,Thursday,2017/07
_______male______________female____________________,__,male,SO,I,,Thursday,2017/08
__  ________  ________  ____  _____________  ________,__,male,MA,G,,Friday,2017/08
“_female___________”___________male______________,__,female,SCB,G,,Thursday,2017/08
"______________________________________jc_________male______female_____________________________________,_____po____________________________________________________________________________________________________male_____female________________________,______________________________________________________________________________________________________female_____________________________",__,male,SCB,G,,Sunday,2017/08
________female____female______________________________________________________________________________________________female_______________________________,__,female,MA,I,,Tuesday,2017/08
_____ ___female_male______female_male_________male____________________________male__________female______________ ____ _____ ________ ________ ________female__male__________,__,female,SCB,G,,Tuesday,2017/08
"_______________ __________,_____________ ______________ ________",__,male,SO,G,,Friday,2017/09
___________female______,__,male,MA,I,,Saturday,2017/09
male__female____________b______________female__,__,female,SO,I,,Saturday,2017/09
_____male____“female______”_____________diss_____________female_______female_________female___________________________,__,female,MA,G,,Saturday,2017/09
_male____________________________________________________________,__,male,MA,I,,Saturday,2017/09
____ ____________male___diss _____________,__,female,MA,I,,Saturday,2017/09
_……_______male__________________________________________________________________________________female________________________male___,__,female,MA,G,,Saturday,2017/09
___female____________________________________,__,female,MA,G,,Saturday,2017/09
____________________________________,__,male,SO,G,,Saturday,2017/09
_________“______ ______ ______ ____ ____ __male____” __ _______,__,female,SCB,I,,Saturday,2017/09
female________________________________________,__,female,SCB,I,,Saturday,2017/09
_______________“_______”_____________________________male___,__,female,SCB,G,,Saturday,2017/09
_________________2_____male__________________,__,female,SCB,I,,Saturday,2017/09
female______ ______ _____,__,female,SCB,I,,Saturday,2017/09
_______________female_________________male_________male____________,__,female,MA,I,,Saturday,2017/09
male___male_____________________________female________,__,female,MA,I,,Saturday,2017/09
________________“____”_______________________male_________female_____________________________,__,female,MA,I,,Saturday,2017/09
____ ______female________,__,female,SCB,I,,Saturday,2017/09
___ _bmale___ ___ _______,__,male,MA,G,,Saturday,2017/09
________female___________________,__,female,MA,I,,Saturday,2017/09
______ male___________________________malefemale__,__,female,MA,I,,Saturday,2017/09
___male___  ____female_____female___   __________  ________,__,male,MA,I,,Saturday,2017/09
___________female________________female________male_____________female_____……,__,female,MA,I,,Saturday,2017/09
___malefemale_______male____female________________,__,male,MA,I,,Sunday,2017/09
"_____________________,________ __ _______ ______female________________male_female__________",__,female,MA,I,,Sunday,2017/09
__female__________________b______________________________,__,male,MA,I,,Monday,2017/09
______male________________________________,__,female,MA,I,,Tuesday,2017/09
__female______________________female_________________________________________________,__,female,MA,G,,Tuesday,2017/09
____female______male________________,__,male,MA,G,,Thursday,2017/09
female______________male_female_________ _____female_____ __________female___,__,male,MA,I,,Thursday,2017/09
__female_____________,__,female,MA,I,,Thursday,2017/09
_msl______________________________male_,__,male,MA,G,,Thursday,2017/09
______male____male_______________,__,male,MA,G,,Thursday,2017/09
____________________female___________________80__________________LGBT_________________female____________male__________female________________,__,male,MA,G,,Thursday,2017/09
______female__________male________,__,male,MA,G,,Thursday,2017/09
_________·female___ _______  __________female_ __________,__,male,SCB,G,,Thursday,2017/09
__female_______________Feminazi__female_____________,__,male,SCB,G,,Thursday,2017/09
emmmmmmmm_male________male_____________,__,male,MA,I,,Thursday,2017/09
_____female____________________________,__,female,MA,I,,Thursday,2017/09
__female____“__”___________lgbt_____,__,male,MA,I,,Thursday,2017/09
_ ______female___________________male________ _____________ _________,__,female,MA,I,,Thursday,2017/09
_____female________________,___,female,MA,I,,Thursday,2017/09
“__”______________female___________……,__,male,MA,I,,Thursday,2017/09
female_________________________ps__female____,__,male,SCB,I,,Friday,2017/09
_____female____________________________________________male______________male…female______________male_male__________,__,female,MA,G,,Saturday,2017/09
female________________,__,male,MA,I,,Saturday,2017/09
_________female__male____________,__,male,MA,I,,Tuesday,2017/09
