count,date_ymd
1,2016/11/21
8,2016/11/22
5,2017/1/23
5,2017/1/24
5,2017/1/25
1,2017/10/11
10,2017/10/12
1,2017/10/15
2,2017/10/19
2,2017/10/2
3,2017/10/20
4,2017/10/21
4,2017/10/22
1,2017/10/23
6,2017/10/24
7,2017/10/25
10,2017/10/26
10,2017/10/27
2,2017/10/29
10,2017/10/30
3,2017/10/31
2,2017/10/8
3,2017/11/10
1,2017/11/12
1,2017/11/13
1,2017/11/24
1,2017/11/25
1,2017/11/27
1,2017/11/4
2,2017/11/6
1,2017/12/21
1,2017/12/6
1,2017/2/19
1,2017/3/24
2,2017/6/13
1,2017/6/3
2,2017/6/30
1,2017/7/14
3,2017/7/19
1,2017/7/20
1,2017/7/3
2,2017/7/4
1,2017/7/8
3,2017/7/9
1,2017/8/18
1,2017/8/24
1,2017/8/27
2,2017/8/29
1,2017/8/3
1,2017/9/1
1,2017/9/12
2,2017/9/13
2,2017/9/15
1,2017/9/18
22,2017/9/2
1,2017/9/20
1,2017/9/23
1,2017/9/26
3,2017/9/27
1,2017/9/28
2,2017/9/3
1,2017/9/4
2,2017/9/5
15,2017/9/7
1,2017/9/8
2,2017/9/9
7,2018/1/18
5,2018/1/19
1,2018/1/2
1,2018/1/20
1,2018/1/24
3,2018/1/4
1,2018/1/5
5,2018/10/12
1,2018/10/15
1,2018/10/16
1,2018/10/2
1,2018/10/27
2,2018/10/3
2,2018/10/4
1,2018/10/5
4,2018/10/6
3,2018/10/7
3,2018/10/8
1,2018/10/9
3,2018/11/19
1,2018/11/20
1,2018/11/21
3,2018/11/24
1,2018/11/26
9,2018/11/27
1,2018/11/28
1,2018/11/29
10,2018/11/30
1,2018/12/1
2,2018/12/10
2,2018/12/11
1,2018/12/13
1,2018/12/14
1,2018/12/15
1,2018/12/17
32,2018/12/2
7,2018/12/20
1,2018/12/21
1,2018/12/22
1,2018/12/24
1,2018/12/25
2,2018/12/3
4,2018/12/4
4,2018/12/5
3,2018/2/10
6,2018/2/11
7,2018/2/12
2,2018/2/26
1,2018/2/7
4,2018/3/10
1,2018/3/11
4,2018/3/12
2,2018/3/13
5,2018/3/15
1,2018/3/16
1,2018/3/21
1,2018/3/22
3,2018/3/26
1,2018/3/6
8,2018/3/7
4,2018/3/9
6,2018/4/1
3,2018/4/10
5,2018/4/11
1,2018/4/12
2,2018/4/13
1,2018/4/16
2,2018/4/18
3,2018/4/2
1,2018/4/22
1,2018/4/24
2,2018/4/28
1,2018/4/29
2,2018/4/3
1,2018/4/30
5,2018/4/4
5,2018/4/5
2,2018/4/6
5,2018/4/7
1,2018/4/8
2,2018/5/1
1,2018/5/12
3,2018/5/26
2,2018/5/9
1,2018/6/12
1,2018/6/15
1,2018/6/20
1,2018/6/21
1,2018/6/26
2,2018/6/27
2,2018/6/28
1,2018/6/3
3,2018/6/4
2,2018/6/5
1,2018/6/8
10,2018/7/13
4,2018/7/14
2,2018/7/16
2,2018/7/19
2,2018/7/22
3,2018/7/25
10,2018/7/26
15,2018/7/27
6,2018/7/28
6,2018/7/29
16,2018/7/30
5,2018/7/31
1,2018/7/5
2,2018/8/1
1,2018/8/10
2,2018/8/11
3,2018/8/12
1,2018/8/16
1,2018/8/17
1,2018/8/19
1,2018/8/2
2,2018/8/23
1,2018/8/24
3,2018/8/25
1,2018/8/28
1,2018/8/3
1,2018/8/30
1,2018/8/4
2,2018/9/11
4,2018/9/12
1,2018/9/14
3,2018/9/17
1,2018/9/2
1,2018/9/20
1,2018/9/23
1,2018/9/24
1,2018/9/25
1,2018/9/26
1,2018/9/5
1,2019/1/1
1,2019/1/12
3,2019/1/15
1,2019/1/16
1,2019/1/20
5,2019/1/21
1,2019/1/7
1,2019/1/9
4,2019/10/10
7,2019/10/11
9,2019/10/12
1,2019/10/14
3,2019/10/2
10,2019/10/20
8,2019/10/21
4,2019/10/22
1,2019/10/24
1,2019/10/25
2,2019/10/28
6,2019/10/4
2,2019/10/5
2,2019/10/6
5,2019/10/7
1,2019/10/8
7,2019/11/10
1,2019/11/11
9,2019/11/15
1,2019/11/17
5,2019/11/18
1,2019/11/19
1,2019/11/21
3,2019/11/23
1,2019/11/24
1,2019/11/25
1,2019/11/26
1,2019/11/30
1,2019/11/6
4,2019/12/10
2,2019/12/11
1,2019/12/12
2,2019/12/15
2,2019/12/16
2,2019/12/17
1,2019/12/19
6,2019/12/20
4,2019/12/21
1,2019/12/22
3,2019/12/24
3,2019/12/26
3,2019/12/28
3,2019/12/3
3,2019/12/4
2,2019/12/5
1,2019/12/6
4,2019/12/7
4,2019/12/8
4,2019/12/9
2,2019/2/11
2,2019/2/16
1,2019/2/22
3,2019/2/4
1,2019/2/6
1,2019/3/11
8,2019/3/12
3,2019/3/13
1,2019/3/19
3,2019/3/24
1,2019/3/27
2,2019/3/31
23,2019/3/5
7,2019/3/6
1,2019/3/7
1,2019/3/8
1,2019/3/9
14,2019/4/20
1,2019/4/21
3,2019/4/22
1,2019/4/23
2,2019/4/24
