before,after
"并且总感觉是举着帮助女人学会经营情感的大旗干着教女人怎么讨好迎合男人的勾当
",总 感觉 举着 女人 学会 经营 情感 大旗 干着 教 女人 讨好 迎合 男人 勾当 
"""我就问你是不是吧，现在微博评论，一言不合就吊癌，一言不合圣母婊",""" 问 ， 微博 评论 ， 一言不合 吊癌 ， 一言不合 圣母 婊 "
"""我他妈真的是 你能不能滚蛋",""" 妈   滚蛋 "
"做男人好难，天天被这些三观正的女性“作家”扣帽子
",做 男人 好难 ， 天天 三观 正 女性 “ 作家 ” 扣帽子 
"哈哈哈 女的也一样啊 我就不想干活想白吃白喝吃喝玩乐啊 马上说女人一定要有钱！一定要独立！要翻身！我也表示hin累
",哈哈哈   女   不想 干活 想 白吃白喝 吃喝玩乐   女人 有钱 ！ 独立 ！ 翻身 ！ hin 累 
"不仅吃屎，还一边吃一边说香，别人说不香的都是立牌坊。下流坯子
",吃屎 ， 吃 说香 ， 不香 牌坊 。 下流坯 子 
"把张魏巍和女权俩字放一起就有种屎一样的效果，想吐
",张 魏巍 女权 俩 字 放 有种 屎 效果 ， 想 吐 
"挣男人裤裆钱的，还有人说是女权界的一股清流……
",挣 男人 裤裆 钱 ， 女权 界 一股 清流 … … 
"男人都出轨，做鸡也不高尚。男人出轨是男人烂，有本事的女人就不搭理男人，做🐔就是从烂男人身上挣饭吃，臭狗身上的跳蚤。
",男人 出轨 ， 做 鸡 高尚 。 男人 出轨 男人 烂 ， 本事 女人 搭理 男人 ， 做 🐔 是从 烂 男人 挣饭吃 ， 臭狗 跳蚤 。 
"女权和穆斯林站在一起，真是个搞笑的画面啊
",女权 穆斯林 站 ， 搞笑 画面 
"什么时候田园女权少了，女权发展应该就好了。
",田园 女权 少 ， 女权 发展 。 
"""所以为啥支持“堕胎权”的和反对“堕胎权”的都一起上街反特朗普了，谁是真“女权”你给个准话好不好？",""" 为啥 支持 “ 堕胎 权 ” 反对 “ 堕胎 权 ” 上街 反 特朗普 ， 真 “ 女权 ” 准话 好不好 ？ "
"如果按这个说法的话，女权是应该支持特朗普的，因为比起伊斯兰教法对女性的迫害，特朗普那点性别歧视连提都不值得提，而特朗普是伊斯兰势力扩展的有力反对者。所以我真心弄不懂她们放着绿教不怼怼特朗普是什么心态
",说法 ， 女权 支持 特朗普 ， 伊斯兰教 法对 女性 迫害 ， 特朗普 那点 性别歧视 连提 值得 提 ， 特朗普 伊斯兰 势力 扩展 反对者 。 真心 弄 懂 放着 绿教 怼 怼 特朗普 心态 
"那就问问 为啥自己不让男票带套 不带套发生性关系之后不吃避孕药 直到要怀孕了才堕胎 堕胎的钱还要政府管
",问问   为啥 不让 男票 带套   不带 套 性关系 不吃 避孕药   怀孕 堕胎   堕胎 钱 政府 
"我支持女性有自主生育权，但不支持由国家付费堕胎
",支持 女性 自主 生育权 ， 支持 国家 付费 堕胎 
"有能耐找本国的赵爷要钱啊，我国女权的特色不是又红又专吗，怎么能随便接受他国施舍
",能耐 找 本国 赵爷 要钱 ， 我国 女权 特色 又红又专 ， 随便 接受 国 施舍 
"那些喷子根本不是真正的女权啊，女权哪里会喷鼓励未婚生育的直男啊
",喷子 女权 ， 女权 喷 鼓励 未婚 生育 直 男 
"人们在倡导一些理念的时候当然有自己具体的诉求，那个更迫切她们根据自己的处境自有判断。女权主义者将重点放在反歧视上是表示他们支持神权吗？我看你比较愚蠢吧。
",倡导 理念 诉求 ， 迫切 处境 自有 判断 。 女权主义者 重点 放在 反 歧视 支持 神权 ？ 愚蠢 。 
"哗众取宠！第一，打人行为是错的，这个无论性别信仰和立场。第二，为何要刻意强调性别？强调是男人打女人却获得了其他女人的维护，而忽略了立场和信念，是女权主义者打了反女权主义者的工作者而后被女权主义者维护，两者表述差别太大，混淆视听。第三，被打者服务报社做了什么？
",哗众取宠 ！ 第一 ， 打人 错 ， 性别 信仰 立场 。 ， 刻意 性别 ？ 男人 女人 女人 维护 ， 忽略 立场 信念 ， 女权主义者 反 女权主义者 工作者 女权主义者 维护 ， 表述 差别 太 ， 混淆视听 。 第三 ， 被打者 服务 报社 做 ？ 
"啊，一个女的无辜被打，其他女的就满血ob，那tm的你们女权维护的是个鸡巴?女权维护的难道不是女性的权益?最基本的人身安全受到威胁都没有人站出来发声还维权什么?智障玩意
",， 女 无辜 ， 女 满血 ob ， tm 女权 维护 鸡巴 ? 女权 维护 女性 权益 ? 人身安全 威胁 人站 发声 维权 ? 智障 玩意 
"""原来那个女穆斯林在游行上演讲不是站台？",""" 女 穆斯林 游行 演讲 站台 ？ "
"任何事情都强调性别不正是你们女权婊所干的吗？所谓的性别y意识呵呵
",事情 性别 女权 婊所干 ？ 性别 y 意识 
"如果和你意见不同就要动拳头，以暴力解决问题，那何必游行呢，女权们人手一只大口径手枪突突死看不顺眼的多好
",意见 动 拳头 ， 暴力 解决问题 ， 游行 ， 女权 人手 一只 口径 手枪 突突 死 看不顺眼 
"""现场同时支持穆斯林支持女权的人根本精神分裂",""" 现场 支持 穆斯林 支持 女权 精神分裂 "
"哈哈哈同意，田园女权和直男癌并没有本质区别。
",哈哈哈 同意 ， 田园 女权 直 男癌 本质区别 。 
"这不就是绿绿套路吗 极端屌癌杀女婴强j女性 温和屌癌洗地说不要一竿子打翻一船屌 但是他们自己不会去谴责极端屌
",绿绿 套路   屌 癌 杀 女婴 强 j 女性   温和 屌 癌 洗 一竿子打 翻一船 屌   谴责 屌 
"女权婊们就单纯发泄一下，键盘敲得啪啪响，现实能做些什么？
",女权 婊们 发泄 ， 键盘 敲得 啪啪 响 ， 现实 做些 ？ 
"很多以自我为中心的人是打着女权的旗号要特权，只要没满足他们的私心就给你扣上歧视压迫女性的帽子，他们的典型特征就是双标，因为从来没看到这些以自我为中心的伪女权主义者批判歧视男性的现象
",自我 中心 打着 女权 旗号 特权 ， 私心 扣 歧视 压迫 女性 帽子 ， 典型 特征 双标 ， 自我 中心 伪 女权主义者 批判 歧视 男性 现象 
"是的，主要是受不了那些伪女权主义者动不动就给别人扣上帽子
",， 受不了 伪 女权主义者 扣 帽子 
"估计从小被亲爸强奸把 一看到关于男女那个什么新闻 就立马跳出来
",估计 亲爸 强奸   男女 新闻   跳 
"虽然高考不到400分但凭什么理工矿业军警各985211院校招的男生多，自己又馋又懒没好工作然而都怪性别歧视赚着月薪2000，拿着贷款买的iPhone自吹优秀哎不行中国男人都配不上她们只能卖了父母的祖宅去美国买个精子生个混血儿最吊，中国没请她出来当女皇真是太腐朽了还不是因为屌癌太多
",高考 400 分 理 工矿业 军警 985211 院校 招 男生 ， 馋 懒 工作 性别歧视 赚 月薪 2000 ， 贷款 买 iPhone 自吹 优秀 不行 中国 男人 配不上 卖 父母 祖宅 美国 买个 精子 生个 混血儿 最吊 ， 中国 没请 女皇 真是太 腐朽 屌 癌太多 
"就是这类的女生阻止了女性平权运动的推进啊！
",这类 女生 阻止 女性 平权 运动 推进 ！ 
"@索玛女王 八其实是男人，“生理男性，想当癞屎的心理变态。”现在真身晓光，女权都不帮他站台了，还想再重新上位已经不可能了，日薄西山啊。
",@ 索玛 女王   八 男人 ， “ 生理 男性 ， 想 癞 屎 心理变态 。 ” 真身 晓光 ， 女权 帮 站台 ， 想 上位 ， 日薄西山 。 
"没有女性车厢，它们咬人；有女性车厢，它们还咬人；而且咬人的还是愿班人马。以后别伺候这班大爷，社会关爱女性是必须的，但别取悦女权，更别配合它们打着扛着女权大旗迫害女性。
",女性 车厢 ， 咬人 ； 女性 车厢 ， 咬 ； 咬人 愿班 人马 。 伺候 这班 大爷 ， 社会 关爱 女性 ， 但别 取悦 女权 ， 更别 配合 打着 扛着 女权 大旗 迫害 女性 。 
"女人打男人，肯定是逼急了。男人打女人，哪怕是女人先动手，也是男的渣
",女人 男人 ， 逼急 。 男人 女人 ， 女人 先 动手 ， 男 渣 
"看到你这逻辑也是醉，所以你是觉得该一辈子活在社会人文的关怀下才？这跟残疾人受社会关怀有什么区别？所谓男女平等，就是让男女在社会上的机会和对待平等，所以你是觉得不应该惩罚罪犯而是应该把受害者关起来？说实话你这种才是男权的附属品谢谢
",逻辑 醉 ， 一辈子 活在 社会 人文 关怀 下才 ？ 残疾人 受 社会 关怀 区别 ？ 男女平等 ， 男女 社会 机会 平等 ， 惩罚 罪犯 受害者 关 ？ 说实话 男权 附属品 谢谢 
"女人永远没有错，即使是杀人也该被人同情。
",女人 永远 错 ， 杀人 同情 。 
"说得好呀！设女性车厢一看就是男权的体现呀，简单粗暴的划定一个所谓的保护区，女的就乖乖呆在里面吧。。走到普通车厢被骚扰了，就叫活该吧。。
",说得好 ！ 设 女性 车厢 一看 男权 体现 ， 粗暴 划定 保护区 ， 女 乖乖 呆 。 。 走 车厢 骚扰 ， 活该 。 。 
"最重要的是  光想不劳而获   不付出  想得到  得不到  妈卖批  什么好男人都死光了  什么累觉不爱了  什么一个人生活怎么怎么了  整个一副我有b我有理的样子，自己也不照照镜子。
",    想 不劳而获       付出     想得到     得不到     妈卖批     男人 死光     累觉 爱     生活     一副 b 有理 ， 不照 照镜子 。 
"真恶心。看了一圈这群女犬的微博，简直是三观尽毁
",真 恶心 。 一圈 这群 女犬 微博 ， 三观 尽毁 
"""你遇到的素质还行，我遇到的女权婊直接开始侮辱我全家女性。呵呵，口称女权，张嘴就骂人妈。",""" 素质 行 ， 女权 婊 侮辱 全家 女性 。 ， 口称 女权 ， 张嘴 骂人 妈 。 "
"""下一次你就说它们的妈妈都是妓女，它们的妈妈不知道和多少男人上了床才把它们生出来，它们是妓女生的婊子养的杂种。跟它们那些没素质的东西不用提素质两个字。",""" 妈妈 妓女 ， 妈妈 男人 床 生 ， 妓女 生 婊子 养 杂种 。 素质 不用 提 素质 字 。 "
"""他们还觉得自己是女权斗士",""" 女权 斗士 "
